Freq,Vmod,IHr1,IHi1,VHr1,VHi1,IHr2,IHi2,VHr2,VHi2,IHr3,IHi3,VHr3,VHi3,IHr4,IHi4,VHr4,VHi4,IHr5,IHi5,VHr5,VHi5,IHr6,IHi6,VHr6,VHi6,IHr7,IHi7,VHr7,VHi7,IHr8,IHi8,VHr8,VHi8,IHr9,IHi9,VHr9,VHi9,IHr10,IHi10,VHr10,VHi10,Modulation,File Number,Rank,theta,Re{I1} Rot,Im{I1} Rot,Re{I2} Rot,Im{I2} Rot,Re{A1} Rot,Im{A1} Rot,Re{A2} Rot,Im{A2} Rot
1500059,0.0100416,0.001918275839734625,0.0007083906395860721,0.01004160952317283,-1.734723475976807e-18,-4.214425326966388e-06,8.045386836581468e-07,-1.0504955761572141e-05,2.33079930798493e-05,2.058186031817959e-06,-5.179060526184935e-07,2.706653082355062e-06,-7.8935837299381e-06,4.8496574736920455e-08,2.793818412550967e-07,1.4076074489825832e-07,2.0125623866010496e-06,2.5005365884169603e-07,-3.0967959702265207e-07,9.507638167552136e-07,2.662572379647448e-07,-3.0797723801086317e-07,-1.7658228508647263e-07,-3.1188015480414273e-06,-1.8659529782970548e-06,2.3841925625516236e-07,3.9127508281714517e-07,-1.1556263046808929e-06,6.103981537407823e-07,-2.0635734246088137e-07,-9.212899515263429e-08,8.049724316071997e-07,-1.3882885168906778e-06,-4.2722613535006554e-08,-5.873380373721065e-07,-5.516339879655328e-07,-5.835508946689215e-07,-4.2191996744932366e-07,-2.0245487737408162e-07,-8.09562038828506e-07,-1.2309670149080923e-06,10mV,2,73,-2.2137344242529875,0.001918275839734625,0.0007083906395860721,-4.214425326966388e-06,8.045386836581468e-07,0.19103270599278496,0.07054552738296913,-0.04179570972814101,0.00797884947019366
1191504,0.0127297,0.002613394130150054,0.0007300141238427787,0.01272974123227472,1.734723475976807e-18,-7.237396238615248e-06,1.0149585465887178e-06,-2.703940450037429e-05,2.7613029147110996e-05,1.4308248431798784e-06,-1.12577460906901e-06,-8.088686380373363e-07,-6.24686085877536e-06,4.665820837298749e-08,3.907387916998322e-07,4.642824270061735e-08,1.5353402854880179e-06,1.2206658632264317e-07,-3.563548432018082e-07,-3.4464005384096876e-06,-2.454253639399495e-06,3.7112263709573684e-07,4.0122246263915706e-08,2.2067264051525353e-06,5.966278794820321e-07,1.7247296551455265e-07,-3.9580355410640773e-07,-3.1065532435014824e-06,-1.046088826565851e-06,-8.551716316350607e-08,-1.0780020982526513e-07,1.8147510301914455e-06,-8.19043870694967e-07,1.0510622259134128e-07,-3.678702602591542e-08,2.736507376846963e-06,2.0261406544202192e-06,1.1711757146948153e-07,-3.800088820762497e-07,1.1363507176048553e-06,-3.2780255967000116e-06,10mV,2,72,2.717590202735016,0.002613394130150054,0.0007300141238427787,-7.237396238615248e-06,1.0149585465887178e-06,0.20529829180848622,0.057347129884456394,-0.044662517501361576,0.006263385664627979
946464.9,0.0125644,0.0026881809645099702,0.0005993306327755671,0.012564441736235901,2.168404344971009e-18,-5.845883754802325e-06,1.651927151867505e-07,-2.427335803028384e-05,1.460682466349416e-05,1.2352389588749373e-07,-2.092882726506768e-06,-8.328516188407727e-07,-6.665613702620098e-06,-2.1569692792469507e-07,-3.08149783873612e-07,-5.919693989694497e-07,-3.2184870894173635e-06,-3.256416219855922e-08,-3.8123209672376516e-07,-2.2262338227168826e-07,-2.5478766457447542e-06,2.889416169729671e-07,1.6605563230851047e-07,-1.0666117641603459e-07,-1.4870032252712315e-06,-4.402471278987159e-07,-2.1888894379494047e-07,-3.2611283270900455e-06,-9.77658406618659e-07,1.0916651885414579e-07,8.600777746590702e-08,9.89734917476907e-07,1.4850461759452063e-06,-9.602635269192588e-08,9.646116945001562e-09,-2.3730305694038477e-06,-1.4837006161073576e-06,2.0532300689636535e-08,4.3550128165918326e-07,2.6388531570007315e-06,2.852296147099596e-06,10mV,2,71,2.9139817010028515,0.0026881809645099702,0.0005993306327755671,-5.845883754802325e-06,1.651927151867505e-07,0.21395148474899964,0.04770053818205823,-0.03703085859087673,0.0010464163046859042
751816.4,0.0125862,0.0027626512938316674,0.0005117876372728366,0.012586212129248911,2.168404344971009e-19,-4.27281227978862e-06,1.614589232075233e-07,-1.8276936383388172e-05,6.782212831422115e-06,2.725750895779855e-07,-1.109837135031459e-06,1.3146739730964957e-06,2.266245238870434e-08,3.377838625066116e-07,1.231620382849826e-07,2.178960649203563e-06,9.343000706597906e-07,8.830852453227736e-08,1.5050743159802417e-07,3.258907386583367e-07,-1.2123628610582266e-06,-3.7078422431726123e-07,-1.278942690520496e-07,-2.2709322987194056e-06,5.293903946479366e-07,2.901989942093592e-07,1.4317680141169621e-08,1.0712971057358124e-06,-6.031398029756674e-07,-1.7915410820212076e-09,5.479059025058041e-08,-4.404566145015257e-07,-2.5728617054765067e-06,-3.979457850194688e-07,-9.098981327930074e-08,-2.042118223294521e-06,3.287601560612676e-07,-5.418448107201451e-08,-1.4493602836617542e-08,2.899356043386957e-06,-2.42596252812483e-07,10mV,2,70,3.014624853258982,0.0027626512938316674,0.0005117876372728366,-4.27281227978862e-06,1.614589232075233e-07,0.21949823071959698,0.040662562494358484,-0.026972656328566345,0.0010192294352496945
597246.1,0.012618,0.0028123697926171537,0.0004471043785615888,0.012618038003414413,1.734723475976807e-18,-3.0016709775236727e-06,6.990197202186638e-07,-1.0920786559192431e-05,4.6425223689434285e-06,1.2116482832937708e-06,-1.0679965571858321e-06,6.156736010402348e-06,-6.092727649734558e-06,-4.764167616122292e-07,3.403726950406491e-08,-1.2789353045972039e-06,2.5494270715015284e-06,-3.3372227596085553e-07,1.2371713827446863e-07,2.3760263479209353e-07,-1.68607018122337e-06,-2.2534511181818297e-07,-2.3819355339549923e-07,-3.651421961943361e-07,-1.963825833473668e-06,-1.1242433421633691e-07,-1.316068084006039e-07,5.671745495955917e-07,5.69136885840259e-07,2.427818550427687e-07,-3.041344352744531e-08,-8.053259401057879e-08,1.3473590902145124e-06,2.4165005122348247e-07,8.263992933271741e-08,8.886589640040067e-07,2.4699530703779765e-06,9.959343152523659e-08,-1.752994359258788e-08,-4.6355140957432775e-07,2.020227116055836e-06,10mV,2,69,2.604818458887539,0.0028123697926171537,0.0004471043785615888,-3.0016709775236727e-06,6.990197202186638e-07,0.2228848725813104,0.03543374797576319,-0.018852954698181403,0.0043904169434619495
474433.6,0.0125966,0.002826681084917663,0.0004106462323768364,0.012596641236654384,2.710505431213761e-19,-2.29749381133369e-06,9.67158455424456e-07,-9.19971234641469e-06,3.949931364250224e-06,3.9201398447993175e-07,-2.1390795021161042e-07,8.786723654936279e-07,8.125822101417062e-07,-5.10359480537828e-07,2.55323208310312e-08,-1.4852655335400752e-06,2.4461381824763175e-06,1.1481175783957e-07,1.9453213821263302e-07,2.1357781874372457e-06,8.002248224700079e-07,-1.8457305490327507e-07,4.253769162260503e-08,9.799482613394529e-07,-2.5831142703065256e-07,3.4116927153055294e-07,2.4019413645458633e-07,1.5767822536571106e-06,2.2116546782801003e-06,2.0423485593164855e-07,5.328671269687704e-08,-4.6475063480174787e-07,-3.0451433624216637e-07,-8.538037696762968e-08,2.7091791561863014e-07,4.768175649743473e-07,-4.721450232778776e-07,-1.8246682424057892e-07,-1.5923603906270698e-07,8.698953761281924e-07,-2.7534152617892238e-06,10mV,2,68,1.6033972414493023,0.002826681084917663,0.0004106462323768364,-2.29749381133369e-06,9.67158455424456e-07,0.2243995865098098,0.032599660866891714,-0.014479208744814696,0.00609520212690982
376816.4,0.0126457,0.0028453101177951523,0.000391805672730587,0.012645707067401715,-8.673617379884035e-19,-2.269640827926308e-06,5.454322885112422e-07,-8.43413383154836e-06,5.155026444582403e-06,4.5960263310117113e-07,1.188592438625719e-06,-5.323847462488861e-07,5.026423255136202e-06,-7.08606061976164e-08,-6.217721084522802e-07,-1.5939801933649547e-06,-1.5695066639284268e-06,-8.560185119659005e-07,-7.049253932343016e-08,-5.502747099622743e-06,7.170447855403094e-07,-1.6918251716749005e-07,-1.0100370301001453e-07,-2.1316535480163904e-06,-1.1528015881864671e-06,1.344700433488884e-07,-5.978990158562973e-08,3.49197795114057e-07,1.3620020709476204e-06,2.2300269379463446e-08,7.393089490498348e-08,3.3602213939223533e-06,1.0011918318769615e-06,8.922036684932526e-08,2.634489784767187e-07,2.9450328110480084e-06,1.939121500388349e-06,-1.3270617163383725e-07,3.0197840547664933e-08,1.1858158220642614e-07,-2.5580056977692684e-07,10mV,2,67,0.9407298124005904,0.0028453101177951523,0.000391805672730587,-2.269640827926308e-06,5.454322885112422e-07,0.22500205821862135,0.030983295014051802,-0.014192892082848031,0.003410787078770437
299355.5,0.012696,0.002853646515671239,0.00039047902241138026,0.012695998033747146,-1.0842021724855044e-18,-1.6099243920974257e-06,8.2102200146292e-07,-7.233910354174514e-06,2.872938326930268e-06,4.807474697894843e-07,1.8805554015849071e-06,6.070639561528814e-07,8.557316232165353e-06,1.0059534446800483e-07,-5.742799976556295e-07,-1.7418683476370925e-06,4.944577105084671e-07,-7.218323433587105e-07,-2.1384355361876666e-07,-4.642031603672496e-06,-1.897285856398111e-07,7.526275524611157e-08,-2.6304313257723326e-08,1.124237323167766e-06,1.349897264658481e-07,-1.0546769935710635e-07,2.9662636378388163e-07,2.310579146495686e-06,1.8276044621870816e-06,-1.3164035629777843e-07,1.7439370111661994e-07,-2.2232205218876087e-06,1.739940274748163e-06,2.0700465448753952e-08,2.0232253897897487e-07,7.272010574614028e-07,1.6962443544808832e-06,-3.44306782295087e-07,1.7740325848276648e-07,7.20870319244896e-07,-1.4205409556504711e-08,10mV,2,66,-1.6644203917558418,0.002853646515671239,0.00039047902241138026,-1.6099243920974257e-06,8.2102200146292e-07,0.2247674037193437,0.030756071430812357,-0.00998784485084487,0.005093556200523438
237832,0.0127068,0.0028454337090074583,0.0004029584900893926,0.012706806814169407,0.0,-1.4908944283626496e-06,8.557272952686699e-07,-5.589243188127539e-06,5.420845587433572e-06,-7.039963069806817e-07,2.8469212298235554e-06,-3.081690548393943e-06,1.2452073199570226e-05,5.842333277092061e-07,-7.632183696071613e-09,-2.618924493634749e-07,-6.800605142334675e-07,-3.9971616387124574e-07,-7.934715206485066e-07,-3.457368794340327e-06,-4.5061105703458177e-07,-2.7542117066798667e-07,-3.546976484488784e-08,-1.5802171221721779e-06,1.886607413561118e-07,-1.9969793666456315e-07,4.895526148985011e-07,1.5546669112303973e-06,1.4572628227825672e-06,5.678713051624121e-08,1.4199871775662952e-07,6.899416696029446e-07,3.0202129219430412e-06,1.4708316415867874e-07,-3.6904912227806676e-08,-1.1794451875584535e-06,-9.615073196723453e-07,1.4794933796331048e-07,-2.6082649368564857e-08,4.3099018334644404e-07,-1.1322619245773324e-07,10mV,2,65,-0.6357278572695663,0.0028454337090074583,0.0004029584900893926,-1.4908944283626496e-06,8.557272952686699e-07,0.22392987873511266,0.031712018289288234,-0.009233663364399904,0.005299837215782627
188847.7,0.0127588,0.0028363819681259356,0.00043616029213295465,0.012758789906396546,-2.6020852139652106e-18,-1.7112775434649105e-06,6.722106207005728e-08,-7.02115214864614e-06,1.5571493215064346e-06,-3.2735279893584786e-06,3.296990830452788e-06,-1.213300028352639e-05,1.399926935240545e-05,3.2013488912898136e-07,5.586078363014954e-07,8.839999923974198e-07,3.0789344718089767e-06,9.795431570777473e-07,-1.4841287516617864e-07,1.4494764850295652e-06,1.2628397260761374e-07,-2.0712771864199503e-07,-2.3686027867040976e-07,-1.2540922561236252e-06,1.0045457925269893e-06,-5.957498656738032e-07,-3.097702329310481e-07,-2.655373264610387e-06,-2.501657720052838e-07,7.557403548808683e-08,6.652493845969456e-08,-1.0430197450099553e-06,1.0575382917615912e-06,-2.164988041587285e-07,1.1747137292084984e-07,-1.8139179571036956e-06,-8.379900690264162e-07,8.017364154694689e-08,9.912924185987032e-08,-1.3175100174455274e-06,1.848188291235077e-06,10mV,2,64,-2.741824960723329,0.0028363819681259356,0.00043616029213295465,-1.7112775434649105e-06,6.722106207005728e-08,0.2223080706661634,0.0341850830159284,-0.010512390352069292,0.00041293947148416115
