Freq,Vmod,IHr1,IHi1,VHr1,VHi1,IHr2,IHi2,VHr2,VHi2,IHr3,IHi3,VHr3,VHi3,IHr4,IHi4,VHr4,VHi4,IHr5,IHi5,VHr5,VHi5,IHr6,IHi6,VHr6,VHi6,IHr7,IHi7,VHr7,VHi7,IHr8,IHi8,VHr8,VHi8,IHr9,IHi9,VHr9,VHi9,IHr10,IHi10,VHr10,VHi10,Modulation,File Number,Rank
150058.6,0.0127987,-0.0023396804418617766,0.0016375676023173591,-0.00909180774007306,0.009008047627278477,-4.931419039566609e-07,1.9600116091014618e-06,-2.8339513964742103e-06,6.781595973317233e-06,-4.643702814573531e-06,-4.661380484103194e-06,-1.574859384223914e-05,-1.723130837403968e-05,1.192068233082922e-07,-4.5182664910084193e-07,-7.466558158854839e-07,-1.5722077337944643e-06,1.310357253886321e-06,1.3490271559824604e-06,2.746667903171496e-06,4.999465913858012e-06,3.3565961155361e-07,2.62207458347208e-07,2.045085393712968e-06,3.210173083676241e-07,-6.046571732525964e-07,-3.7151180361215543e-08,-1.2948892930478653e-06,-3.58984081158221e-07,-5.555698205026263e-08,-3.3621789445444363e-09,-3.015208276142271e-07,-3.2537960478037227e-06,8.14074249025108e-08,-1.641833444945736e-07,-1.7964931659520724e-06,-7.529274110928704e-07,1.387522491091994e-07,1.7312515168441573e-07,3.237223232619663e-06,-7.86595527081026e-07,10mV,2,63
119238.3,0.0128634,-0.0012431964727800918,0.0025527659655179974,-0.0032970632488319206,0.012433699349123516,2.1236515862288672e-07,2.039561121984948e-06,7.639373951322485e-07,6.1474095789405475e-06,-5.5750950279176866e-06,-4.686792134052086e-06,-2.263846554142556e-05,-1.732853555645283e-05,-7.473297770363024e-07,-8.046772418448771e-07,-3.859256229194704e-06,-6.018141620504881e-06,2.0163591807272646e-06,5.014760412564208e-07,8.327287202817203e-06,2.035141704602532e-06,-3.0986833365156887e-07,4.417907046525482e-08,-1.4495689014324224e-06,2.295887330165072e-06,-7.354129285500525e-07,-2.609894669166142e-07,-5.56515133880725e-06,-1.3048329821583011e-06,-3.0316197825918726e-09,-1.1234611976382972e-07,-3.535407952537339e-07,-2.2460484554892215e-07,6.72649246768458e-07,-1.1908075942745878e-07,3.0980115850735612e-06,1.25179997356931e-06,2.0262078523639786e-07,1.0166120597001509e-07,-4.161899036396892e-07,-3.2800407579291997e-07,10mV,2,62
94746.09,0.0126967,-0.002117620186356215,0.0017721874752031303,-0.007668696785654816,0.010119216215467583,-1.978563218418498e-07,8.284120543534453e-07,1.1634116259209915e-06,8.850555059730012e-07,7.873321334732402e-08,3.584147497139313e-06,4.04901938246957e-08,1.550994530358868e-05,-1.2165794267401463e-07,-2.799507562250006e-07,1.196557256289111e-06,-2.6881106228544846e-06,1.3633902624753119e-06,1.1755650237226352e-06,4.4956523322625975e-06,4.817164946833356e-06,-1.1328502498672399e-07,-1.0395341413520931e-07,9.244833381502249e-08,-3.4018200136103617e-07,4.910546131269458e-07,3.401142737896507e-08,2.261636845451348e-06,-5.760773534676854e-07,2.0850910647129427e-08,4.85129942184079e-09,1.8524142638004724e-07,-1.2308077410028343e-06,2.384986099157613e-07,-1.8326108545098663e-07,3.735512542487058e-06,9.934760782469e-09,-1.113970498809559e-07,3.8227993503528097e-07,6.433735897166857e-07,1.944543648263006e-06,10mV,2,61
75292.97,0.0123696,0.002491368104678438,-0.0008769007970189672,0.010211371011580067,-0.006981066376872576,-2.9832835098260443e-07,8.019759834553099e-07,3.802908657568901e-06,4.424941654143942e-06,7.778259666836635e-07,3.1855547191474926e-07,4.45477272147525e-06,-1.2031819629453525e-07,-4.024582214053501e-09,-6.233536289743415e-08,-2.2923009729592412e-07,3.642266150281119e-07,-1.5599018660931272e-07,-4.3669489543975346e-07,-1.6594912270971788e-06,-3.3963222583866363e-06,1.5180831291120167e-07,-1.4542004508491944e-07,-2.2933815205092418e-07,-1.7357261769438535e-06,-5.989893809450826e-08,4.014266189028597e-07,1.3169863799599449e-06,1.930180541770154e-06,1.4441805267889118e-07,-6.619402250528224e-08,-6.382738030282468e-08,6.840630550711544e-08,6.917675358793547e-08,2.3633773578662907e-07,5.082986273259599e-07,2.0936989849195433e-06,1.5115910049772477e-07,8.314123968143676e-09,-7.369319927898234e-07,-1.6263455967290595e-06,10mV,2,60
59824.22,0.0122507,-0.0024415424882547354,0.0007085894957183481,-0.0101585203039581,0.00684713372338977,-4.783992799960941e-07,8.009495737682438e-07,4.560838738653232e-06,2.657174701177573e-06,-5.767024800564282e-07,-5.65936779312863e-10,-2.809644600870923e-06,-1.5746936560720734e-07,-4.163237015009418e-08,-1.0992806868867122e-07,-5.323716357497176e-07,-4.396215441158239e-06,5.467514255431881e-07,1.0779292661724808e-07,3.1919242044498994e-06,2.327928106187587e-06,1.1213266190425904e-08,1.4528105440824246e-07,1.8893009309828069e-06,-1.6878296362075755e-07,1.8477705609858985e-07,4.298288885944321e-08,5.495657105323105e-07,3.170931971883424e-06,-3.4189264734433485e-07,3.432920558584768e-08,-8.648851745542203e-07,6.264918572575951e-07,7.509529258918415e-08,9.633528874266148e-08,6.460012648068356e-07,-1.2716089071316437e-07,-8.077590120710703e-08,-1.6292546782210348e-07,-1.2053960910539427e-06,-1.7920737485696566e-06,10mV,2,59
47519.53,0.0117813,-0.002059726923500912,-0.0011482320320667385,-0.011660389695548378,-0.001683305257662327,-9.328665309829296e-07,-7.060071196563679e-07,-3.970846518100706e-06,6.466712484820098e-06,-2.460747066490024e-08,-7.048016130798794e-07,-2.3544446104820826e-06,-2.457196064623253e-06,-1.86625808875089e-07,1.2702576702669701e-07,-7.876759641455921e-07,3.4057035766351596e-07,-3.38857281000657e-07,-1.6998195155660698e-07,-7.772652531032695e-07,-9.424184387424142e-07,1.3562197577723421e-07,4.785255648477967e-08,1.545691229499969e-06,-5.672203990915857e-07,-7.565087964541457e-08,1.341107560033171e-07,-8.080496992493986e-07,-5.186450358453684e-07,-1.9200854876143703e-09,-2.2040164816194093e-07,-1.370019388548936e-06,-2.2928666583841903e-07,1.2019909299607913e-07,-2.3614968957700728e-07,-3.9354735013718487e-07,-9.682920282932029e-08,-3.6538538626578136e-08,6.283449189660421e-08,-1.4429397753587987e-06,8.956205651674046e-07,10mV,2,58
37792.97,0.0112524,0.0021417093256534186,0.00017781525838150465,0.010594227349127449,-0.003791935244208362,-1.7788154964224089e-06,5.652575148611857e-07,-2.210651131964761e-07,8.397997880935856e-06,6.864452315257112e-07,-2.700058517747846e-07,3.0328251786829267e-06,2.3404052263124928e-07,1.1513466164669962e-07,-1.924441928299087e-08,2.614085381699018e-06,3.575382687615637e-07,-4.77251999243619e-07,-2.5096468149721105e-07,-1.828533941974588e-06,-1.3600756994385002e-06,-3.0951268103771895e-08,-1.7029550921988937e-08,5.568573072715586e-07,-1.3567611364016881e-06,-1.4813489318293755e-07,1.5192830009313425e-07,-8.072624905281557e-07,1.526908705624701e-06,-4.263176614841027e-08,1.2218053877948532e-07,-2.505809655829828e-06,-3.6897019667552807e-07,8.874144804863003e-08,-1.0430986224418806e-07,-5.921035972069749e-07,3.744957942287627e-07,1.5738959512345473e-07,-1.8468833629463788e-08,1.3386978727054086e-08,-1.1232302830800659e-07,10mV,2,57
29941.41,0.0107202,-0.0003213037970994392,0.0018976260084769328,0.003447707929146332,0.01015062059538703,2.1865067499502778e-06,-7.253657145874334e-08,3.950959139879834e-06,-9.780170667286436e-06,-7.324790983207356e-07,-9.814691841314833e-07,-2.5356407231611352e-06,-3.2814174064438223e-06,3.6932706462915816e-07,2.2106157766257021e-07,1.3180912343055488e-06,-3.5614405306284603e-07,-1.5408983713487387e-07,-4.363112900109598e-07,-1.1081689086407926e-06,-2.3544446104820826e-06,-8.436637951964665e-08,-7.270840945511514e-09,-4.423836799798338e-06,-1.0573456087430093e-06,-7.827869836662945e-08,-1.0387415188445567e-07,1.8373727767394199e-06,2.6383921773023055e-06,1.67652366168901e-08,4.5819966993715486e-09,-7.824667968769385e-07,3.1319449765900965e-07,-9.685171976088369e-08,-3.044652644452617e-07,-2.1412077217805145e-06,-2.7147210397683565e-07,9.095953153577766e-08,1.1678454064099002e-07,6.62318306209888e-07,-1.1501533737737438e-06,10mV,2,56
23847.66,0.0102539,0.0015860106791340948,-0.0006234085402353181,0.006047759450947488,-0.008280568436813338,-2.3500251930996667e-06,1.8572601549602913e-06,7.446718289370829e-06,7.076592083593496e-06,-1.0357206260928064e-06,-7.585431647607064e-07,-7.678737701947665e-06,-4.853625140238287e-06,3.769592879631559e-08,-1.1120336891417152e-07,2.53122130577872e-06,-4.398769864405275e-07,4.01943027823995e-07,-5.156773970730761e-07,-9.05190150596419e-08,-2.86709702684233e-06,1.0580877394069517e-07,2.975606981832788e-07,-7.672147245776137e-07,1.4937630752565817e-06,5.7421810457490305e-08,1.4098361294558122e-07,9.057996987388887e-07,5.410612046924585e-07,-1.3081210286908184e-07,7.859920556374571e-08,-1.0845920903036454e-07,-9.249182088206544e-07,9.516964531096236e-08,-2.8087828144813513e-10,2.6649086815968013e-06,2.701267228401937e-07,-2.9955860629643446e-08,6.80038844088161e-08,6.108746305970482e-07,-1.1004349282215647e-06,10mV,2,55
18925.78,0.0099718,0.0014922427956770307,-0.00019899973560411535,0.0071674972894411,-0.006932810758473976,-3.5896717688673327e-06,-7.557506454021922e-08,1.3313494864527967e-06,1.1193279375313928e-05,-9.226415459561029e-07,-1.1037494912583766e-06,-5.492230951997387e-06,-4.008411565851241e-06,-1.907850330591152e-07,4.76055662958199e-08,-3.6228173992354523e-06,-1.5861145354425818e-07,7.844577444077168e-07,-3.936000516894702e-07,3.5421630320063615e-06,-4.486813497497765e-06,-4.813035001289488e-09,1.4187777156747852e-07,-5.468493156382086e-08,1.92355141569653e-06,1.9087629402806207e-07,2.3183468093025096e-07,6.833325253778411e-07,3.048293139521382e-06,-9.488958683143868e-08,-7.633201130093597e-08,4.490553429457635e-07,-8.196205073546055e-07,-2.2853558585427747e-07,-3.540964265041381e-08,-8.168345066367304e-07,7.222380929058978e-07,-4.41614038442686e-08,1.6355567674083598e-08,3.318671990123243e-07,-4.3040009829110937e-07,10mV,2,54
